Draw number,Draw date,draw_date_iso,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Supplementary Number 1,Supplementary Number 2,Supplementary Number 3,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount
1,22/02/1994,1994-02-22,4,15,19,37,40,43,,8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01/03/1994,1994-03-01,3,11,20,31,34,42,,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,08/03/1994,1994-03-08,6,7,9,28,44,45,,35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15/03/1994,1994-03-15,5,20,23,29,30,44,,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22/03/1994,1994-03-22,10,13,16,20,38,40,,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29/03/1994,1994-03-29,1,2,15,16,38,41,,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,05/04/1994,1994-04-05,3,6,8,11,33,36,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12/04/1994,1994-04-12,3,4,21,22,40,45,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19/04/1994,1994-04-19,6,7,15,28,30,36,,24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26/04/1994,1994-04-26,5,9,12,13,29,33,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,03/05/1994,1994-05-03,1,15,18,31,33,41,,37,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10/05/1994,1994-05-10,4,6,8,15,17,36,,20,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17/05/1994,1994-05-17,13,14,22,23,33,39,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,24/05/1994,1994-05-24,1,16,29,30,40,42,,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31/05/1994,1994-05-31,9,11,17,24,38,40,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,07/06/1994,1994-06-07,2,9,18,19,35,36,,15,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14/06/1994,1994-06-14,13,24,29,30,31,41,,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21/06/1994,1994-06-21,12,20,26,34,38,43,,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28/06/1994,1994-06-28,7,17,19,21,24,36,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,05/07/1994,1994-07-05,3,6,11,13,26,29,,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12/07/1994,1994-07-12,10,12,18,20,23,41,,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19/07/1994,1994-07-19,2,9,13,34,37,39,,11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,26/07/1994,1994-07-26,2,7,9,26,30,34,,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,02/08/1994,1994-08-02,3,11,12,25,31,39,,27,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,09/08/1994,1994-08-09,4,6,24,25,29,31,,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,16/08/1994,1994-08-16,10,17,18,20,30,45,,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23/08/1994,1994-08-23,1,5,9,17,22,36,,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30/08/1994,1994-08-30,2,11,32,35,36,39,,21,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,06/09/1994,1994-09-06,11,12,16,24,33,40,,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,13/09/1994,1994-09-13,11,21,24,28,32,33,,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20/09/1994,1994-09-20,6,7,9,21,25,39,,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,27/09/1994,1994-09-27,6,17,24,29,32,37,,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,04/10/1994,1994-10-04,3,9,15,16,21,37,,27,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11/10/1994,1994-10-11,16,20,25,26,31,39,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18/10/1994,1994-10-18,1,3,14,18,19,29,,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,25/10/1994,1994-10-25,8,13,30,34,35,43,,31,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,01/11/1994,1994-11-01,4,17,19,32,35,38,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,08/11/1994,1994-11-08,11,22,24,30,32,35,,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,15/11/1994,1994-11-15,8,26,31,35,37,43,,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,22/11/1994,1994-11-22,7,14,31,34,40,43,,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,29/11/1994,1994-11-29,4,21,27,36,43,45,,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,06/12/1994,1994-12-06,2,18,24,34,38,43,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,13/12/1994,1994-12-13,8,11,12,15,22,27,,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20/12/1994,1994-12-20,4,10,22,24,31,41,,34,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,27/12/1994,1994-12-27,11,13,14,29,30,45,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,03/01/1995,1995-01-03,9,17,24,35,40,41,,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10/01/1995,1995-01-10,4,13,18,34,40,45,,16,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,17/01/1995,1995-01-17,10,18,20,22,28,33,,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,24/01/1995,1995-01-24,4,9,15,33,35,41,,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,31/01/1995,1995-01-31,5,11,17,22,25,30,,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,07/02/1995,1995-02-07,17,18,22,33,38,43,,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,14/02/1995,1995-02-14,6,15,16,18,28,34,,17,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,21/02/1995,1995-02-21,9,11,26,30,35,43,,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,28/02/1995,1995-02-28,1,5,8,12,13,17,,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,07/03/1995,1995-03-07,10,12,20,23,28,34,,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,14/03/1995,1995-03-14,1,7,9,15,29,38,,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,21/03/1995,1995-03-21,2,4,27,28,36,42,,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,28/03/1995,1995-03-28,1,4,12,14,21,32,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,04/04/1995,1995-04-04,18,19,32,35,36,38,,23,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,11/04/1995,1995-04-11,4,5,20,28,29,39,,33,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,18/04/1995,1995-04-18,2,3,7,17,26,36,,28,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,25/04/1995,1995-04-25,3,9,14,16,20,34,,18,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,02/05/1995,1995-05-02,3,15,16,25,30,34,,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,09/05/1995,1995-05-09,12,14,20,27,28,45,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,16/05/1995,1995-05-16,11,27,28,30,31,32,,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,23/05/1995,1995-05-23,14,18,22,27,35,41,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,30/05/1995,1995-05-30,2,4,6,22,24,29,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,06/06/1995,1995-06-06,6,9,10,20,21,39,,7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,13/06/1995,1995-06-13,19,27,28,29,37,45,,14,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20/06/1995,1995-06-20,9,19,23,29,31,41,,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,27/06/1995,1995-06-27,2,3,15,16,18,32,,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,04/07/1995,1995-07-04,8,13,14,28,32,33,,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,11/07/1995,1995-07-11,8,12,16,30,31,36,,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,18/07/1995,1995-07-18,3,8,12,33,40,42,,23,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,25/07/1995,1995-07-25,21,29,34,36,37,43,,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,01/08/1995,1995-08-01,25,33,36,37,44,45,,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,08/08/1995,1995-08-08,8,16,18,20,34,39,,7,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,15/08/1995,1995-08-15,13,15,21,26,30,43,,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,22/08/1995,1995-08-22,7,24,28,33,42,44,,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,29/08/1995,1995-08-29,5,12,24,28,35,36,,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,05/09/1995,1995-09-05,2,3,15,16,34,38,,39,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,12/09/1995,1995-09-12,12,16,22,26,32,43,,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,19/09/1995,1995-09-19,4,5,10,23,35,45,,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,26/09/1995,1995-09-26,3,15,17,25,30,40,,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,03/10/1995,1995-10-03,1,9,20,24,31,44,,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10/10/1995,1995-10-10,9,12,13,20,21,39,,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,17/10/1995,1995-10-17,2,5,12,24,33,37,,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,24/10/1995,1995-10-24,9,25,27,29,40,43,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,31/10/1995,1995-10-31,1,4,18,38,44,45,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,07/11/1995,1995-11-07,8,13,15,21,22,26,,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,14/11/1995,1995-11-14,3,20,23,31,40,45,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,21/11/1995,1995-11-21,5,6,18,20,24,31,,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,28/11/1995,1995-11-28,2,8,13,16,20,45,,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,05/12/1995,1995-12-05,2,7,19,24,38,39,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,12/12/1995,1995-12-12,2,12,25,26,29,30,,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,19/12/1995,1995-12-19,8,14,25,31,35,43,,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,26/12/1995,1995-12-26,1,13,16,19,33,39,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,02/01/1996,1996-01-02,17,25,27,31,33,35,,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,09/01/1996,1996-01-09,11,13,20,30,32,45,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,16/01/1996,1996-01-16,10,14,30,32,34,45,,26,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,23/01/1996,1996-01-23,2,6,9,19,34,42,,32,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,30/01/1996,1996-01-30,4,11,19,20,25,30,,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,06/02/1996,1996-02-06,3,10,11,15,18,43,,7,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,13/02/1996,1996-02-13,4,14,17,18,38,39,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,20/02/1996,1996-02-20,4,8,9,26,38,39,,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,27/02/1996,1996-02-27,4,7,33,43,44,45,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,05/03/1996,1996-03-05,6,7,10,21,31,41,,14,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,12/03/1996,1996-03-12,4,9,21,31,34,40,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,19/03/1996,1996-03-19,3,4,13,34,37,43,,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,26/03/1996,1996-03-26,1,3,10,19,29,43,,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,02/04/1996,1996-04-02,10,14,23,26,28,30,,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,09/04/1996,1996-04-09,9,21,28,35,36,37,,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,16/04/1996,1996-04-16,7,14,27,28,40,44,,20,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,23/04/1996,1996-04-23,4,27,30,34,37,44,,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,30/04/1996,1996-04-30,10,12,19,22,26,34,,15,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,07/05/1996,1996-05-07,19,22,24,35,39,43,,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,14/05/1996,1996-05-14,1,10,21,28,38,40,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,21/05/1996,1996-05-21,9,18,27,28,29,39,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,28/05/1996,1996-05-28,2,3,31,37,39,43,,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,04/06/1996,1996-06-04,11,26,27,35,36,45,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,11/06/1996,1996-06-11,1,4,17,23,36,41,,26,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,18/06/1996,1996-06-18,3,6,9,22,24,36,,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,25/06/1996,1996-06-25,1,7,9,22,27,34,,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,02/07/1996,1996-07-02,9,18,32,33,37,44,,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,09/07/1996,1996-07-09,1,5,7,29,37,44,,4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,16/07/1996,1996-07-16,2,4,15,27,28,30,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,23/07/1996,1996-07-23,7,11,19,25,39,44,,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,30/07/1996,1996-07-30,2,16,21,26,27,42,,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,06/08/1996,1996-08-06,3,24,26,29,33,38,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,13/08/1996,1996-08-13,8,11,18,19,23,28,,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,20/08/1996,1996-08-20,21,33,34,41,43,45,,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,27/08/1996,1996-08-27,1,4,6,19,28,42,,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,03/09/1996,1996-09-03,6,12,19,27,39,43,,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,10/09/1996,1996-09-10,1,9,28,29,34,41,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,17/09/1996,1996-09-17,25,26,31,36,38,40,,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,24/09/1996,1996-09-24,16,22,23,33,41,43,,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,01/10/1996,1996-10-01,3,5,7,13,20,38,,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,08/10/1996,1996-10-08,11,20,26,30,40,41,,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,15/10/1996,1996-10-15,7,11,13,17,19,23,,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,22/10/1996,1996-10-22,17,21,25,27,31,41,,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,29/10/1996,1996-10-29,4,7,10,27,32,37,,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,05/11/1996,1996-11-05,2,18,24,42,43,45,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,12/11/1996,1996-11-12,1,18,32,33,38,39,,19,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,19/11/1996,1996-11-19,3,5,16,17,43,45,,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,26/11/1996,1996-11-26,9,13,22,31,40,44,,11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,03/12/1996,1996-12-03,1,9,15,25,27,42,,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,10/12/1996,1996-12-10,4,11,24,30,40,44,,17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,17/12/1996,1996-12-17,8,26,29,35,37,42,,11,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,24/12/1996,1996-12-24,9,20,22,29,31,37,,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,31/12/1996,1996-12-31,4,13,19,24,30,39,,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,07/01/1997,1997-01-07,6,7,10,11,19,35,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,14/01/1997,1997-01-14,15,19,26,28,29,39,,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,21/01/1997,1997-01-21,15,18,20,21,22,31,,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,28/01/1997,1997-01-28,9,14,37,40,43,45,,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,04/02/1997,1997-02-04,11,14,27,28,35,42,,17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,11/02/1997,1997-02-11,7,11,19,28,35,45,,10,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,18/02/1997,1997-02-18,2,8,21,24,34,43,,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,25/02/1997,1997-02-25,4,21,24,29,33,40,,9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,04/03/1997,1997-03-04,2,27,30,35,38,40,,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,11/03/1997,1997-03-11,13,18,19,20,34,38,,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,18/03/1997,1997-03-18,3,15,28,34,43,45,,42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,25/03/1997,1997-03-25,10,11,22,25,31,34,,18,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,01/04/1997,1997-04-01,1,10,28,29,30,31,,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,08/04/1997,1997-04-08,7,22,32,35,43,44,,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,15/04/1997,1997-04-15,6,16,21,22,30,39,,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,22/04/1997,1997-04-22,13,14,24,28,32,35,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,29/04/1997,1997-04-29,6,14,17,37,44,45,,21,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,06/05/1997,1997-05-06,5,15,35,43,44,45,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,13/05/1997,1997-05-13,14,23,34,38,41,44,,13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,20/05/1997,1997-05-20,17,21,29,36,38,44,,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,27/05/1997,1997-05-27,8,9,14,24,39,43,,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,03/06/1997,1997-06-03,6,19,23,35,40,43,,21,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,10/06/1997,1997-06-10,2,16,20,21,35,43,,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,17/06/1997,1997-06-17,2,10,11,20,23,32,,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,24/06/1997,1997-06-24,5,7,22,28,31,34,,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,01/07/1997,1997-07-01,4,15,27,35,36,41,,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,08/07/1997,1997-07-08,3,20,27,38,39,45,,33,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,15/07/1997,1997-07-15,5,12,18,31,41,42,,11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,22/07/1997,1997-07-22,11,14,24,30,36,43,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,29/07/1997,1997-07-29,9,28,38,40,42,45,,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,05/08/1997,1997-08-05,5,9,14,21,27,32,,36,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,12/08/1997,1997-08-12,3,29,32,38,39,42,,37,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,19/08/1997,1997-08-19,1,29,33,35,39,41,,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,26/08/1997,1997-08-26,3,4,16,18,29,38,,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,02/09/1997,1997-09-02,12,18,20,27,31,33,,15,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,09/09/1997,1997-09-09,1,9,18,19,26,43,,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,16/09/1997,1997-09-16,6,13,18,21,29,33,,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,23/09/1997,1997-09-23,10,24,28,34,37,45,,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,30/09/1997,1997-09-30,7,8,14,27,30,42,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,07/10/1997,1997-10-07,2,18,28,29,30,41,,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,14/10/1997,1997-10-14,2,6,8,34,38,40,,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,21/10/1997,1997-10-21,2,4,9,21,27,43,,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,28/10/1997,1997-10-28,1,4,10,11,15,39,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,04/11/1997,1997-11-04,11,14,23,33,40,43,,13,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,11/11/1997,1997-11-11,6,13,16,21,37,41,,9,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,18/11/1997,1997-11-18,7,8,17,21,23,34,,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,25/11/1997,1997-11-25,16,17,18,23,29,34,,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,02/12/1997,1997-12-02,18,22,24,29,30,41,,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,09/12/1997,1997-12-09,5,12,30,35,38,43,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,16/12/1997,1997-12-16,1,6,17,41,42,44,,19,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,23/12/1997,1997-12-23,14,15,16,24,38,43,,7,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,30/12/1997,1997-12-30,9,23,27,28,29,43,,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,06/01/1998,1998-01-06,8,13,15,18,38,41,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,13/01/1998,1998-01-13,3,6,12,16,21,22,,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,20/01/1998,1998-01-20,7,12,16,31,37,41,,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,27/01/1998,1998-01-27,2,10,24,28,36,38,,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,03/02/1998,1998-02-03,7,18,34,36,41,44,,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,10/02/1998,1998-02-10,8,17,19,22,25,30,,24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,17/02/1998,1998-02-17,9,10,13,21,26,39,,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,24/02/1998,1998-02-24,9,10,16,20,40,41,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,03/03/1998,1998-03-03,10,11,28,35,37,42,,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,10/03/1998,1998-03-10,11,13,16,30,39,44,,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,17/03/1998,1998-03-17,2,7,10,14,28,38,,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,24/03/1998,1998-03-24,10,21,27,33,44,45,,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,31/03/1998,1998-03-31,8,28,29,30,34,43,,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,07/04/1998,1998-04-07,7,15,17,22,30,45,,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,14/04/1998,1998-04-14,15,18,25,28,41,45,,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,21/04/1998,1998-04-21,21,24,27,39,43,44,,29,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,28/04/1998,1998-04-28,4,13,14,16,18,32,,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
